date,state,district,total,anomaly_score
01-03-2025,Odisha,Nabarangapur,2046,0.08387242085846591
01-03-2025,Tamil Nadu,Villupuram,1155,0.05926409043068592
01-03-2025,Punjab,Patiala,1620,0.07348407170086846
01-03-2025,Uttar Pradesh,Kushinagar,2384,0.08736341363431355
01-03-2025,Rajasthan,Rajsamand,677,0.0020984583644443333
01-03-2025,Uttar Pradesh,Chandauli,649,0.0005240822906685816
01-03-2025,Rajasthan,Nagaur,1379,0.071764946991978
01-03-2025,Tamil Nadu,Dharmapuri,840,0.0217808092595988
01-03-2025,Uttar Pradesh,Bareilly,806,0.020704254576667136
01-03-2025,Uttar Pradesh,Sitapur,1227,0.06322147034366565
01-03-2025,Gujarat,Surat,1508,0.07119268040943305
01-03-2025,Chhattisgarh,Bemetara,1408,0.071764946991978
01-03-2025,Haryana,Fatehabad,1883,0.07808550019695992
01-03-2025,Maharashtra,Jalgaon,683,0.0020984583644443333
01-03-2025,Uttar Pradesh,Varanasi,688,0.0036760332874871127
01-03-2025,Rajasthan,Sikar,1067,0.050846840800042536
01-03-2025,Bihar,Aurangabad,1033,0.04861663084490919
01-03-2025,Maharashtra,Wardha,1092,0.050846840800042536
01-03-2025,Maharashtra,Nanded,2561,0.08911423162438226
01-03-2025,Rajasthan,Sawai Madhopur,1569,0.07348407170086846
01-03-2025,Tamil Nadu,Thoothukkudi,1595,0.07405788913198608
01-03-2025,Tamil Nadu,Dindigul,1397,0.0723376008932739
01-03-2025,Uttar Pradesh,Amroha,994,0.043620671891777096
01-03-2025,Bihar,Lakhisarai,914,0.03481373644403185
01-03-2025,Jharkhand,Sahebganj,1125,0.0581368486994831
01-03-2025,Tamil Nadu,Dindigul,906,0.032081063698287116
01-03-2025,Jharkhand,Hazaribagh,713,0.007898588037626997
01-03-2025,Uttar Pradesh,Mathura,1289,0.06776719995023395
01-03-2025,Jharkhand,Simdega,1550,0.07348407170086846
01-03-2025,Karnataka,Raichur,941,0.03536138120247778
01-03-2025,Tamil Nadu,Thoothukkudi,1049,0.05028872233513304
01-03-2025,Bihar,Sitamarhi,928,0.03536138120247778
01-03-2025,Delhi,North Delhi,2427,0.08736341363431355
01-03-2025,Punjab,Moga,720,0.007898588037626997
01-03-2025,Maharashtra,Buldhana,1055,0.04973098135782328
